SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
040,24,000,00000,00000,00000,Maryland,Maryland,5773552,5773552,5787998,5839572,5884563
162,24,000,00125,00000,00000,Aberdeen city,Maryland,14959,14959,14954,14960,15018
162,24,000,00225,00000,00000,Accident town,Maryland,325,325,324,324,321
162,24,000,01600,00000,00000,Annapolis city,Maryland,38394,38394,38532,38585,38620
162,24,000,04000,00000,00000,Baltimore city,Maryland,620961,620961,620971,620216,621342
162,24,000,04250,00000,00000,Barclay town,Maryland,120,120,120,121,120
162,24,000,04475,00000,00000,Barnesville town,Maryland,172,172,173,175,176
162,24,000,04625,00000,00000,Barton town,Maryland,457,454,454,448,445
162,24,000,05550,00000,00000,Bel Air town,Maryland,10120,10104,10155,10193,10274
162,24,000,06800,00000,00000,Berlin town,Maryland,4485,4486,4487,4476,4563
162,24,000,06925,00000,00000,Berwyn Heights town,Maryland,3123,3123,3130,3158,3181
162,24,000,07200,00000,00000,Betterton town,Maryland,345,345,344,341,339
162,24,000,07850,00000,00000,Bladensburg town,Maryland,9148,9148,9170,9254,9328
162,24,000,08625,00000,00000,Boonsboro town,Maryland,3336,3444,3448,3454,3455
162,24,000,08775,00000,00000,Bowie city,Maryland,54727,54930,55081,55632,56129
162,24,000,09500,00000,00000,Brentwood town,Maryland,3046,3046,3053,3078,3100
162,24,000,10225,00000,00000,Brookeville town,Maryland,134,134,135,136,137
162,24,000,10575,00000,00000,Brookview town,Maryland,60,60,60,60,59
162,24,000,10900,00000,00000,Brunswick city,Maryland,5870,5870,5893,5972,6031
162,24,000,11400,00000,00000,Burkittsville town,Maryland,151,151,151,154,155
162,24,000,12400,00000,00000,Cambridge city,Maryland,12326,12382,12424,12560,12503
162,24,000,13000,00000,00000,Capitol Heights town,Maryland,4337,4337,4349,4392,4428
162,24,000,14325,00000,00000,Cecilton town,Maryland,663,663,663,665,665
162,24,000,14950,00000,00000,Centreville town,Maryland,4285,4285,4300,4419,4451
162,24,000,15400,00000,00000,Charlestown town,Maryland,1183,1183,1183,1188,1189
162,24,000,15925,00000,00000,Chesapeake Beach town,Maryland,5753,5753,5764,5784,5806
162,24,000,15950,00000,00000,Chesapeake City town,Maryland,673,683,683,686,686
162,24,000,16225,00000,00000,Chestertown town,Maryland,5252,5252,5256,5399,5368
162,24,000,16550,00000,00000,Cheverly town,Maryland,6173,6173,6189,6243,6291
162,24,000,16620,00000,00000,Chevy Chase town,Maryland,2824,2824,2836,2877,2907
162,24,000,16720,00000,00000,Chevy Chase Section Five village,Maryland,658,658,661,669,675
162,24,000,16730,00000,00000,Chevy Chase Section Three village,Maryland,760,760,763,773,779
162,24,000,16775,00000,00000,Chevy Chase View town,Maryland,920,920,924,938,949
162,24,000,16787,00000,00000,Chevy Chase Village town,Maryland,1953,1953,1961,1989,2008
162,24,000,17050,00000,00000,Church Creek town,Maryland,125,125,125,124,124
162,24,000,17100,00000,00000,Church Hill town,Maryland,745,745,753,751,750
162,24,000,17600,00000,00000,Clear Spring town,Maryland,358,358,358,358,357
162,24,000,18750,00000,00000,College Park city,Maryland,30413,30413,30461,31060,31208
162,24,000,18850,00000,00000,Colmar Manor town,Maryland,1404,1404,1407,1420,1429
162,24,000,20050,00000,00000,Cottage City town,Maryland,1305,1305,1308,1320,1331
162,24,000,20775,00000,00000,Crisfield city,Maryland,2726,2726,2720,2696,2672
162,24,000,21325,00000,00000,Cumberland city,Maryland,20859,20831,20806,20715,20572
162,24,000,22275,00000,00000,Deer Park town,Maryland,399,399,398,397,393
162,24,000,22600,00000,00000,Delmar town,Maryland,3003,3003,3006,3019,3037
162,24,000,22725,00000,00000,Denton town,Maryland,4418,4418,4417,4400,4372
162,24,000,23025,00000,00000,District Heights city,Maryland,5837,5837,5852,5903,5949
162,24,000,24200,00000,00000,Eagle Harbor town,Maryland,63,63,63,64,64
162,24,000,24450,00000,00000,East New Market town,Maryland,400,400,400,396,394
162,24,000,24475,00000,00000,Easton town,Maryland,15945,16166,16234,16418,16598
162,24,000,25425,00000,00000,Edmonston town,Maryland,1445,1445,1448,1461,1474
162,24,000,25600,00000,00000,Eldorado town,Maryland,59,59,59,59,58
162,24,000,25800,00000,00000,Elkton town,Maryland,15443,15443,15431,15586,15579
162,24,000,26200,00000,00000,Emmitsburg town,Maryland,2814,2814,2827,3059,3086
162,24,000,27400,00000,00000,Fairmount Heights town,Maryland,1494,1494,1497,1511,1523
162,24,000,27900,00000,00000,Federalsburg town,Maryland,2739,2739,2739,2722,2697
162,24,000,28725,00000,00000,Forest Heights town,Maryland,2447,2447,2452,2472,2491
162,24,000,30325,00000,00000,Frederick city,Maryland,65239,65239,65413,65937,66382
162,24,000,30850,00000,00000,Friendsville town,Maryland,491,491,490,489,484
162,24,000,30900,00000,00000,Frostburg city,Maryland,9002,8980,9004,8856,8805
162,24,000,30950,00000,00000,Fruitland city,Maryland,4866,4866,4887,5015,5089
162,24,000,31100,00000,00000,Funkstown town,Maryland,904,885,886,887,885
162,24,000,31175,00000,00000,Gaithersburg city,Maryland,59933,59880,60160,61245,62794
162,24,000,31225,00000,00000,Galena town,Maryland,612,612,611,609,603
162,24,000,31250,00000,00000,Galestown town,Maryland,138,138,138,137,137
162,24,000,31525,00000,00000,Garrett Park town,Maryland,992,992,996,1011,1022
162,24,000,32500,00000,00000,Glenarden city,Maryland,6000,6000,6016,6074,6126
162,24,000,32900,00000,00000,Glen Echo town,Maryland,255,255,256,259,262
162,24,000,33950,00000,00000,Goldsboro town,Maryland,246,246,246,244,243
162,24,000,34525,00000,00000,Grantsville town,Maryland,766,767,767,768,762
162,24,000,34775,00000,00000,Greenbelt city,Maryland,23068,23068,23130,23346,23541
162,24,000,35200,00000,00000,Greensboro town,Maryland,1931,1931,1931,1917,1899
162,24,000,36075,00000,00000,Hagerstown city,Maryland,39662,39739,39964,40565,40638
162,24,000,36500,00000,00000,Hampstead town,Maryland,6323,6326,6331,6336,6335
162,24,000,36600,00000,00000,Hancock town,Maryland,1545,1566,1566,1565,1563
162,24,000,37600,00000,00000,Havre de Grace city,Maryland,12952,12952,12989,13243,13392
162,24,000,37875,00000,00000,Hebron town,Maryland,1084,1084,1085,1094,1099
162,24,000,37925,00000,00000,Henderson town,Maryland,146,146,146,145,144
162,24,000,38500,00000,00000,Highland Beach town,Maryland,96,96,96,97,98
162,24,000,39175,00000,00000,Hillsboro town,Maryland,161,161,161,160,159
